year,combined_approx,rockets_approx,mortars_approx,primary_origin,confidence,source_tag,notes
2001,4,4,,Gaza,low,JVL,"First Qassams (late 2001). Rockets only; mortars not separately tallied."
2002,35,35,,Gaza,low,JVL,"Rockets only."
2003,155,155,,Gaza,low,JVL,"Rockets only."
2004,281,281,,Gaza,medium,JVL,"Rockets only; mortar fire additional and uncounted here."
2005,401,179,222,Gaza,low,JVL/ISA,"Post-disengagement. Rockets ~179; combined incl mortars ~401 (source split)."
2006,1777,946,831,Gaza,medium,JVL/ISA,"Sharp rise after disengagement. Rockets ~946; combined incl mortars."
2007,1263,783,480,Gaza,medium,ISA,"ISA rocket+mortar tally; rockets ~783."
2008,3278,1750,1528,Gaza,medium,ISA/JVL,"Pre-Iron Dome peak; includes opening of Cast Lead (late Dec). Rockets ~1,750."
2009,858,569,289,Gaza,medium,ISA,"ISA: 569 rockets + 289 mortars; includes Cast Lead tail (Jan 2009)."
2010,365,150,215,Gaza,high,ISA,"ISA: 150 rockets + 215 mortars. Relatively quiet year."
2011,680,,,Gaza,high,ISA,"ISA: ~680 rockets, mortars and Grad missiles combined."
2012,2257,,,Gaza,medium,ISA/ITIC,"Includes Operation Pillar of Defense (Nov, ~1,506). Year combined ~2,257."
2013,63,63,,Gaza,high,ISA,"Very quiet: 63 rockets across ~36 attacks."
2014,4564,3852,712,Gaza,high,ISA/OCHA,"Operation Protective Edge (Jul-Aug) dominates. ISA: 3,852 rockets + 712 mortars."
2015,25,,,Gaza,high,ITIC,"~23 attacks; sporadic."
2016,15,,,Gaza,high,ITIC,"~15 attacks; sporadic."
2017,35,,,Gaza,high,ITIC,"~35 rockets and mortars."
2018,1000,,,Gaza,medium,IDF,"IDF annual: ~1,000 rockets and mortars (incl Nov 2018 ~460 barrage)."
2019,1295,,,Gaza,medium,IDF/ITIC,"~1,295 launches (incl May 2019 ~690 barrage)."
2020,176,176,,Gaza,high,ISA/PMO,"Lowest year on record per Israeli PM statement."
2021,4500,,,Gaza,medium,ITIC/IDF,"Operation Guardian of the Walls (May, ~4,360) dominates; rest of year sporadic."
2022,1300,,,Gaza,medium,ITIC/IDF,"Operation Breaking Dawn (Aug, PIJ, ~1,100) dominates."
2023,12000,,,Gaza,medium,IDF/ITIC,"Iron Swords from Oct 7. >12,000 Oct-Dec; Oct 7 opening barrage ~3,000-5,000 (range)."
2024,,,,multi-front,low,IDF,"NOT Gaza-only and NOT comparable: 2024 fire dominated by Hezbollah/Houthi/Iran. IDF cited ~26,000 across ALL fronts since Oct 7 2023 by late 2024; Gaza-origin fire fell sharply. Left blank deliberately."
